X,Y,Z
6.335552788814292,332.6389501238633,112.75014582654924
-78.4390710960198,-43.42984162831601,-833.3245605140158
-968.162340986677,-666.7413293096981,-243.61764795136878
563.0440175764187,557.3965351400715,394.30076935285416
358.33539487428084,298.2986849139152,47.20672637458452
-594.0155126861218,-309.8117909691182,-663.3857873193016
-739.225330521245,-683.7013038474372,-410.9426366793608
686.5163329584844,450.18647643066464,702.374570457162
-10.30899323992628,-445.4572013016209,-511.28462034745684
-375.9006681283372,-767.6189667218471,-97.83995620296582
818.3145778397891,16.956063173792334,917.7131536421864
-248.13222563521936,-171.28959339033918,-833.3608215988834
-332.14663513037976,-162.2642272795946,-535.1438624255454
887.5056689596847,324.8986187010395,538.0733755136871
296.70827354561004,229.0906632145786,395.3948218568697
-799.1631076218475,-904.8838021647546,-166.42561857550788
584.1059580435993,704.1176914632676,93.99969594373422
963.2416170911114,851.9760827276758,447.8274137234372
-157.64010716265614,-409.76764962669245,-56.95657205625571
59.497450522456724,993.8070646061566,980.0433705639186
975.8038770270344,711.5158341327665,652.0759298402461
143.5090700099357,163.53787776430147,621.9857680577198
572.5089608765617,95.98791881322772,934.8507562225809
-380.95244694157736,-307.88090192548,-239.5342053388681
-390.2931371919044,-185.17096506609334,-461.59726820343803
812.468366180226,20.27231099976953,849.1009591877494
-903.5619298501965,-415.3879668930582,-781.3565071816225
-735.7771340942222,-296.51893614294227,-225.24640927810765
343.31076266529317,894.2344701596867,505.16723762373914
14.275125423149703,869.1432271082854,296.49051872240716
-588.8980233734071,-878.0963703514932,-304.6084102347128
357.3129303859907,739.1753204906128,464.01567840824816
938.0821415138392,926.5588768519855,303.3647925703609
-955.4863756898221,-258.51198054282463,-929.7377379687673
448.9893110465924,785.9991622251206,26.65712113380707
472.28259797153913,490.6471862050252,241.5242267612432
-808.6934511150426,-811.8958057941612,-667.755906434476
357.2352928228856,966.5716489839234,857.9358685954096
-944.8400200859262,-437.723372572474,-74.78608937313379
229.24695894361548,37.85487502062295,913.6737676492484
-878.9422216233284,-554.2033070292084,-513.2236998448263
485.97520323455615,152.24576704992796,374.71219459514117
-27.031193253151173,-938.8391709170149,-948.1878047816268
704.3924521811288,169.14652488582624,550.7760238752975
633.2046277160605,161.02665118129588,466.78396095517195
-598.1224130787139,-64.32150688029662,-314.7547583470341
83.7932860719967,554.1639208255933,713.0965866256748
-466.5886588203218,-707.8231936610835,-610.7056850070485
64.51951838727493,427.85967729217356,939.7082979111192
-461.4349992416186,-294.9663224436731,-858.0083571248823
-415.48492288193836,-478.314810368175,-5.291311886493645
65.44114489031915,276.9132015258894,52.75273903673134
-28.67659065644284,-35.0158750031502,-756.5457576548736
-232.12190549589718,-835.9313056978749,-708.7246657386526
205.6756891654124,334.7388286503679,534.9403437235533
826.6180033430521,389.4329687421189,41.96565450518052
95.17079595234392,415.4789951612773,986.1007129056771
-873.7785265471705,-46.653719184744205,-674.6432518230947
288.2502752790906,471.08841964945634,758.6330694875817
181.35941088296968,645.4761944105433,410.4857427179658
-556.6639287916305,-466.2896880063871,-245.0676969894364
882.8232945503117,466.8014698510374,921.7644449394913
-390.23214509554225,-750.2980703309589,-949.1083731335215
-77.10248692232585,-291.6836218936976,-253.34425528860572
486.1781259946091,577.4572383528136,515.1875846247082
-748.9308575387033,-309.1959146664527,-854.1201756298831
317.91831815746923,76.88247522394815,411.31529011390955
162.91677874152464,765.9635833178849,193.00078523940073
233.85456380369382,195.59368911406142,912.7234974740111
-391.91191719492986,-216.87370907302375,-93.31804166534153
-12.71360992919756,-36.51334102335727,-786.7721748868167
-785.1055571621948,-315.7385233571458,-169.97234430886715
866.6569361653684,599.4227078870589,149.66713068579136
-974.3885900172825,-289.00270989482283,-475.7247680137169
150.44863625108755,538.3470166398607,197.46694075677405
-18.053320501560734,-249.10846924931286,-892.2431338864633
-653.945968854299,-545.0665791656518,-719.8780376356995
-914.8581958788908,-471.82664101218745,-572.750274416864
-795.9264407788517,-110.0993446304027,-963.1045888763952
63.3488520932229,271.4292282945472,94.15156462452897
-705.3279558612234,-71.62385957020672,-454.51522732198384
753.3200793228757,349.07068296386,474.3831663299645
-454.694214179709,-737.703100656236,-402.32884262578773
451.57673584738217,378.6830523806724,993.7043460472283
360.25713229637535,960.7079470425975,762.3781784458506
21.45567279601363,179.91542474976862,112.30719007798929
974.4107126857698,954.7826914798698,823.673070845588
-619.0962836019846,-744.6623638604794,-555.3236628527166
833.2083988563967,688.5295439800021,145.72535577602963
804.2728063056915,642.6934587562469,756.5752626485568
393.53437754535423,720.3080676255435,488.68069217621024
-453.8537048292038,-905.2201795223481,-735.3898162056506
34.03845344490817,754.9038037139234,843.6187595261839
956.001239939298,246.24214034710147,301.1119896431626
641.7680093404263,220.5720780137203,877.2065406690687
-239.57567758951416,-682.7579591094434,-68.72937408270434
88.68945944674725,866.7701306918744,615.934014098978
67.8510973508362,520.5027315314184,638.243516868158
-186.94855112219886,-168.43438619067138,-468.4991804286735
259.61749339276747,697.4371717145036,92.38379415498818
163.3456555327941,109.47076422281496,599.8427744854321
618.3323301187244,122.11158072227425,355.42748036780984
-823.5539602394014,-349.69981430836765,-97.97664464014485
-282.79257256887945,-859.0681496842931,-537.0414529017285
-502.7508847221431,-255.81960283652893,-284.1841614872794
776.3126959398094,159.72754127260905,115.94943068855642
416.1689853375555,812.0532785427392,44.2905984950462
-336.3056701516697,-708.5759032164799,-133.0729347758139
-807.0259087420138,-396.8932223730677,-516.1487336431153
158.92128045595862,680.7384487298397,252.21744240427532
91.28229773404645,284.39174322515385,256.47584718461735
327.5637664949769,156.13312096628619,660.7801938678899
-507.2141376793622,-419.71424965857534,-816.9734634136487
-423.3483222731545,-123.90650380423676,-633.3598218782523
-980.0629452404871,-667.6461738944622,-983.3182840499555
-355.25847334967875,-711.9986812897869,-4.2819455405574445
669.2177788846327,477.99851984307713,357.0390588401045
543.51391244553,249.21445026703773,36.66897243053442
511.9654142381221,814.412291108012,976.3336512851029
662.7819831418843,541.9870797148656,878.3133171375656
719.9277567867987,164.07744013326786,91.23831321597578
858.3062324144337,899.5753371061263,291.6088579404079
267.8274655996197,18.135115317755663,614.766972299384
426.01710712281925,522.3734407934149,243.58679396556363
-901.0480554229309,-204.7118195254693,-228.45362087252272
948.524796974757,677.7018726886793,152.68615194468163
-634.8043432607697,-48.797620915892026,-520.9657239286482
978.3515720642368,251.39011625585914,15.602895528419207
-498.61070746856143,-593.5561952643588,-141.5967759831251
490.2472771201657,35.540682346040725,447.19482091993524
614.5308381722459,757.8124375482972,129.48962671762746
-837.6313352670801,-402.12810735224275,-897.5421874002682
-73.83676420479935,-408.5388521464124,-533.2524072395768
-137.00730847766715,-836.7942834595224,-411.7508137507971
932.5537724135584,442.27270489842164,338.1252138078905
-331.74440534799714,-24.70880960741829,-470.53515626081594
-7.837608395806342,-199.59206313683615,-192.26316490130318
-2.5129809014462126,-996.340883632385,-50.54522297588176
-314.08806466020565,-378.2014885929433,-345.0971864786078
-98.006545903865,-146.3502846146315,-443.7785389091755
554.8948645327553,511.3147920349544,411.7782687950512
-136.7824124605811,-198.93309557484315,-935.80856129556
-560.9335117737489,-42.83411820299352,-831.2234332815109
-485.940279730552,-843.4761616126958,-976.8614720064805
218.19659055512244,652.4216941146236,728.3381611868807
-174.92755038200778,-360.12741378833266,-158.17039154011525
506.85056611445054,690.2282587134089,119.54122959456751
48.076568189067686,141.05857054479156,220.30200339663537
-263.6485483126444,-905.7132410071343,-95.04802556710547
605.3914908135972,936.7183680477708,397.6351173778324
-811.3536172596569,-661.1629676670035,-173.02952434525696
236.69379899814209,944.120275850263,105.2266434998361
761.6075525433516,765.3772331976612,528.2339295149095
-107.78432101374028,-179.79194724138188,-918.9828693237553
-553.0640629652704,-152.14773553314058,-948.855265426856
-208.10309002083022,-584.4550915332677,-460.96332898730395
403.86711086413084,479.5273066304939,935.337952526497
52.14269165058056,986.0141769466318,915.786980155023
-872.2677836876285,-929.4877688218642,-614.6423572001578
459.15161528473345,92.33430039767411,455.30749857719314
-620.2984910852093,-267.05505116101335,-487.1514603373779
-272.49871188973896,-435.0386607143448,-432.4820755013815
-795.5739669741597,-740.6266126144073,1.811041976885349
353.3024965956192,918.4497026212701,262.1645216888775
187.86916784741962,785.7561546640711,208.57404652519293
-323.0922455724336,-245.058213401707,-915.0228113039187
-626.8110167667185,-113.27430561241204,-145.55677945084722
-686.0470389004115,-651.6288313674322,-631.088796222472
304.1651599570378,314.90661633653053,490.11520741736234
311.0662479551451,81.81772255005033,336.04781197271126
-252.03135037422294,-471.5514539254193,-74.69513929407299
700.1150136631435,92.97442105280383,190.72606017702998
-995.1482878000372,-886.1545759157245,-923.6894248305404
-324.40505540345146,-946.7634477430131,-848.4147114446571
